1,53,1,1,4,5,64,3,44,13,11,288,155,17,0,0,0,0,0,0,0,
2,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,22,65,3,19,311,33,674,59,2,42,11,124,40,4,0,0,0,0,0,
0,37,228,1,73,147,3,6,2,45,220,36,100,229,241,245,4,81,73,245,4,
0,1,4,254,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,9,12,1,4,3,5,135,1,290,81,213,45,290,98,2,0,0,0,0,0,
1,1,4,97,13,50,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,402,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,116,1,122,7,176,56,180,4633,242,98,2,0,0,0,0,0,0,0,0,0,
0,9,12,1,21,146,20,30,29,15,5,110,33,674,295,2,1,350,57,35,183,
0,327,50,87,324,20,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,22,15,3,808,5,266,81,63,14,1,72,105,1306,4,773,4,81,0,0,
0,3,61,51,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,31,12,1,8,15,5,931,4,58,6,5,397,4,15,3,17,32,34,156,4,
0,16,1,55,3,18,85,17,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,12,29,7,79,41,18,13,11,6,0,0,0,0,0,0,0,0,0,0,0,
1,1,21,738,57,7,3,1,22,15,591,4,84,4,32,42,25,11,43,0,0,
3,1,21,27,283,594,70,701,12,16,5,514,375,5,0,0,0,0,0,0,0,
2,11,1,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,57,7,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6,14,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,53,1,72,7,16,64,3,10,112,25,10,97,85,11,112,36,0,0,0,0,
2,1,21,16,189,47,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1065,1065,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,163,6,2,4018,1161,5,4019,66,71,1404,4,98,89,0,0,0,0,0,0,0,
3,37,45,5,15,5,889,4,5,2538,1620,2,74,596,215,1,60,35,284,36,144,
